Day,Month,Airline,flightclass,capacity,timediff,night1,season,delayed
4,0,1,INT,0,-17,0,Summer,0
3,0,1,INT,36,-25,0,Summer,0
3,0,1,INT,19,-5,0,Summer,0
5,0,1,INT,33,-31,0,Summer,0
5,0,1,DOM,0,2,0,Summer,0
3,7,1,INT,21,-22,0,Summer,0
5,7,1,INT,0,-19,0,Summer,0
5,7,1,DOM,0,-43,0,Summer,0
4,7,1,INT,0,62,0,Summer,1
2,7,1,INT,0,-13,0,Summer,0
5,7,1,INT,20,-206,0,Summer,0
5,7,1,DOM,0,-12,0,Summer,0
4,7,1,INT,6,-22,0,Summer,0
4,7,1,DOM,0,51,0,Summer,1
2,7,1,INT,5,-23,0,Summer,0
2,7,1,DOM,0,4,0,Summer,0
3,5,1,INT,18,91,0,Summer,1
4,5,1,DOM,5,-215,0,Summer,0
3,5,1,INT,23,-30,0,Summer,0
3,5,1,DOM,0,-38,0,Summer,0
5,5,1,DOM,4,-72,0,Summer,0
4,5,1,DOM,0,-5,0,Summer,0
3,5,1,INT,15,-46,0,Summer,0
4,5,1,INT,24,-31,0,Summer,0
4,5,1,DOM,0,-4,0,Summer,0
3,4,1,INT,34,7,0,Summer,0
4,4,1,DOM,0,-5,0,Summer,0
2,4,1,INT,0,89,0,Summer,1
3,4,1,INT,13,0,0,Summer,0
3,4,1,INT,17,-4,0,Summer,0
4,1,1,DOM,0,58,0,Summer,1
3,1,1,INT,29,-31,0,Summer,0
3,1,1,DOM,0,-72,0,Summer,0
5,1,1,INT,17,-34,0,Summer,0
5,1,1,DOM,0,-65,0,Summer,0
4,1,1,INT,7,-4,0,Summer,0
3,1,1,INT,20,0,0,Summer,0
2,10,1,INT,0,-11,0,Summer,0
3,10,1,INT,23,-9,0,Summer,0
5,6,1,INT,66,-10,0,Summer,1
5,6,1,INT,66,-10,0,Summer,1
5,6,1,INT,66,-10,0,Summer,1
6,6,1,INT,0,5,0,Summer,0
6,6,1,INT,0,5,0,Summer,0
6,6,1,INT,0,5,0,Summer,0
4,6,1,INT,36,-16,0,Summer,0
4,6,1,INT,36,-16,0,Summer,0
4,6,1,INT,36,-16,0,Summer,0
4,0,1,INT,21,-7,0,Summer,0
4,0,1,INT,21,-7,0,Summer,0
4,0,1,INT,21,-7,0,Summer,0
3,0,1,INT,71,-5,0,Summer,1
3,0,1,INT,71,-5,0,Summer,1
3,0,1,INT,71,-5,0,Summer,1
3,0,1,INT,36,-7,0,Summer,0
3,0,1,INT,36,-7,0,Summer,0
3,0,1,INT,36,-7,0,Summer,0
5,0,1,INT,48,-14,0,Summer,0
5,0,1,INT,48,-14,0,Summer,0
5,0,1,INT,48,-14,0,Summer,0
4,0,1,INT,0,-61,0,Summer,0
4,0,1,INT,0,-61,0,Summer,0
4,0,1,INT,0,-61,0,Summer,0
3,0,1,DOM,0,-46,0,Summer,0
3,0,1,DOM,0,-46,0,Summer,0
3,0,1,DOM,0,-46,0,Summer,0
4,0,1,INT,32,-15,0,Summer,0
4,0,1,DOM,0,-15,0,Summer,0
4,0,1,INT,32,-15,0,Summer,0
4,0,1,DOM,0,-15,0,Summer,0
4,0,1,INT,32,-15,0,Summer,0
4,0,1,DOM,0,-15,0,Summer,0
3,0,1,INT,49,-10,0,Summer,0
3,0,1,INT,49,-10,0,Summer,0
3,0,1,INT,49,-10,0,Summer,0
5,7,1,INT,68,-8,0,Summer,1
5,7,1,INT,68,-8,0,Summer,1
5,7,1,INT,68,-8,0,Summer,1
4,7,1,DOM,0,-60,0,Summer,0
4,7,1,DOM,0,-60,0,Summer,0
4,7,1,DOM,0,-60,0,Summer,0
3,7,1,INT,33,-13,0,Summer,0
3,7,1,INT,33,-13,0,Summer,0
3,7,1,INT,33,-13,0,Summer,0
5,7,1,INT,55,-27,0,Summer,1
5,7,1,INT,55,-27,0,Summer,1
5,7,1,INT,55,-27,0,Summer,1
4,7,1,INT,43,-5,0,Summer,0
4,7,1,INT,43,-5,0,Summer,0
4,7,1,INT,43,-5,0,Summer,0
0,7,1,DOM,0,207,0,Summer,1
0,7,1,DOM,0,207,0,Summer,1
0,7,1,DOM,0,207,0,Summer,1
5,7,1,INT,50,-9,0,Summer,0
5,7,1,INT,50,-9,0,Summer,0
5,7,1,INT,50,-9,0,Summer,0
3,7,1,INT,57,-12,0,Summer,1
3,7,1,INT,57,-12,0,Summer,1
3,7,1,INT,57,-12,0,Summer,1
5,7,1,INT,65,-13,0,Summer,1
5,7,1,INT,65,-13,0,Summer,1
5,7,1,INT,65,-13,0,Summer,1
4,7,1,INT,25,-3,0,Summer,0
4,7,1,INT,25,-3,0,Summer,0
4,7,1,INT,25,-3,0,Summer,0
3,7,1,INT,68,-11,0,Summer,1
3,7,1,INT,68,-11,0,Summer,1
3,7,1,INT,68,-11,0,Summer,1
4,5,1,INT,31,-15,0,Summer,0
4,5,1,INT,31,-15,0,Summer,0
4,5,1,INT,31,-15,0,Summer,0
3,5,1,INT,48,-13,0,Summer,0
3,5,1,INT,48,-13,0,Summer,0
3,5,1,INT,48,-13,0,Summer,0
5,5,1,INT,66,-10,0,Summer,1
5,5,1,INT,66,-10,0,Summer,1
5,5,1,INT,66,-10,0,Summer,1
4,5,1,INT,24,-15,0,Summer,0
4,5,1,DOM,0,8,0,Summer,0
4,5,1,INT,24,-15,0,Summer,0
4,5,1,DOM,0,8,0,Summer,0
4,5,1,INT,24,-15,0,Summer,0
4,5,1,DOM,0,8,0,Summer,0
3,5,1,INT,59,4,0,Summer,1
3,5,1,INT,59,4,0,Summer,1
3,5,1,INT,59,4,0,Summer,1
5,5,1,INT,46,-11,0,Summer,0
5,5,1,INT,46,-11,0,Summer,0
5,5,1,INT,46,-11,0,Summer,0
4,5,1,DOM,0,-75,0,Summer,0
4,5,1,DOM,0,-75,0,Summer,0
4,5,1,DOM,0,-75,0,Summer,0
4,5,1,INT,20,-15,0,Summer,0
4,5,1,DOM,0,47,0,Summer,0
4,5,1,INT,20,-15,0,Summer,0
4,5,1,DOM,0,47,0,Summer,0
4,5,1,INT,20,-15,0,Summer,0
4,5,1,DOM,0,47,0,Summer,0
4,5,1,INT,0,0,0,Summer,0
4,5,1,INT,0,0,0,Summer,0
4,5,1,INT,0,0,0,Summer,0
3,4,1,INT,0,0,0,Summer,0
3,4,1,INT,0,0,0,Summer,0
3,4,1,INT,0,0,0,Summer,0
5,4,1,INT,67,-61,0,Summer,1
5,4,1,INT,67,-61,0,Summer,1
5,4,1,INT,67,-61,0,Summer,1
4,4,1,INT,0,-26,0,Summer,0
4,4,1,INT,0,-26,0,Summer,0
4,4,1,INT,0,-26,0,Summer,0
3,4,1,INT,72,24,0,Summer,1
3,4,1,INT,72,24,0,Summer,1
3,4,1,INT,72,24,0,Summer,1
5,4,1,INT,0,27,0,Summer,0
5,4,1,DOM,0,-33,0,Summer,0
5,4,1,INT,0,27,0,Summer,0
5,4,1,DOM,0,-33,0,Summer,0
5,4,1,INT,0,27,0,Summer,0
5,4,1,DOM,0,-33,0,Summer,0
4,4,1,INT,20,3,0,Summer,0
4,4,1,INT,20,3,0,Summer,0
4,4,1,INT,20,3,0,Summer,0
3,4,1,INT,61,-7,0,Summer,1
3,4,1,INT,61,-7,0,Summer,1
3,4,1,INT,61,-7,0,Summer,1
5,4,1,INT,64,-9,0,Summer,1
5,4,1,DOM,0,26,0,Summer,0
5,4,1,INT,64,-9,0,Summer,1
5,4,1,DOM,0,26,0,Summer,0
5,4,1,INT,64,-9,0,Summer,1
5,4,1,DOM,0,26,0,Summer,0
4,4,1,INT,26,-10,0,Summer,0
4,4,1,INT,26,-10,0,Summer,0
4,4,1,INT,26,-10,0,Summer,0
3,4,1,INT,55,-4,0,Summer,1
3,4,1,INT,55,-4,0,Summer,1
3,4,1,INT,55,-4,0,Summer,1
4,4,1,INT,0,8,0,Summer,0
4,4,1,INT,0,8,0,Summer,0
4,4,1,INT,0,8,0,Summer,0
3,4,1,INT,39,8,0,Summer,0
3,4,1,DOM,0,20,0,Summer,0
3,4,1,INT,39,8,0,Summer,0
3,4,1,DOM,0,20,0,Summer,0
3,4,1,INT,39,8,0,Summer,0
3,4,1,DOM,0,20,0,Summer,0
5,1,1,INT,50,-4,0,Summer,0
5,1,1,INT,50,-4,0,Summer,0
5,1,1,INT,50,-4,0,Summer,0
6,1,1,DOM,0,-140,0,Summer,0
6,1,1,DOM,0,-140,0,Summer,0
6,1,1,DOM,0,-140,0,Summer,0
5,1,1,INT,43,-21,0,Summer,0
5,1,1,INT,43,-21,0,Summer,0
5,1,1,INT,43,-21,0,Summer,0
3,1,1,INT,62,-9,0,Summer,1
3,1,1,INT,62,-9,0,Summer,1
3,1,1,INT,62,-9,0,Summer,1
5,1,1,INT,26,-15,0,Summer,0
5,1,1,INT,26,-15,0,Summer,0
5,1,1,INT,26,-15,0,Summer,0
5,1,1,INT,49,-24,0,Summer,0
5,1,1,INT,49,-24,0,Summer,0
5,1,1,INT,49,-24,0,Summer,0
4,1,1,INT,29,-15,0,Summer,0
4,1,1,DOM,0,33,0,Summer,0
4,1,1,INT,29,-15,0,Summer,0
4,1,1,DOM,0,33,0,Summer,0
4,1,1,INT,29,-15,0,Summer,0
4,1,1,DOM,0,33,0,Summer,0
5,10,1,INT,61,-4,0,Summer,1
5,10,1,INT,61,-4,0,Summer,1
5,10,1,INT,61,-4,0,Summer,1
4,10,1,INT,22,-20,0,Summer,0
4,10,1,INT,22,-20,0,Summer,0
4,10,1,INT,22,-20,0,Summer,0
3,10,1,INT,45,158,0,Summer,1
3,10,1,DOM,0,-19,0,Summer,0
3,10,1,INT,45,158,0,Summer,1
3,10,1,DOM,0,-19,0,Summer,0
3,10,1,INT,45,158,0,Summer,1
3,10,1,DOM,0,-19,0,Summer,0
5,10,1,INT,69,-12,0,Summer,1
5,10,1,INT,69,-12,0,Summer,1
5,10,1,INT,69,-12,0,Summer,1
5,10,1,INT,62,-4,0,Summer,1
5,10,1,INT,62,-4,0,Summer,1
5,10,1,INT,62,-4,0,Summer,1
4,10,1,INT,24,-23,0,Summer,0
4,10,1,INT,24,-23,0,Summer,0
4,10,1,INT,24,-23,0,Summer,0
3,10,1,INT,51,-5,0,Summer,1
